case_url,source_case_id,final_url,retrieval_status,html_bytes,html_sha256,page_title,error
https://www.geipan.fr/fr/cas/1954-10-00015,1954-10-00015,https://www.geipan.fr/fr/cas/1954-10-00015,DOWNLOADED,18622,c586bd5e0a644de1f6f98e05dcab42e5e512cc54cee4840cc9e9833ba5aebf61,LACROIX-SAINT-OUEN (60) 07.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-00016,1954-10-00016,https://www.geipan.fr/fr/cas/1954-10-00016,DOWNLOADED,18578,80bd7b53d19a031c79744e6930f298edc9cc90ea342a58be991ccb11adaa984f,LACROIX-SAINT-OUEN (60) 08.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-00017,1954-10-00017,https://www.geipan.fr/fr/cas/1954-10-00017,DOWNLOADED,18688,15d46f7433c2452c1538b7b181e61ccceb61a5432e7716609574360c44e1ba59,CROTOY (LE) (80) 09.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-00024,1954-10-00024,https://www.geipan.fr/fr/cas/1954-10-00024,DOWNLOADED,19137,e40cb9a512cd8a8667958fc79cc63929aa7c0e7eebb179bc77b0ebfc7484cf8e,[C244] DE ANDRES (62) VERS GUINES (62) 21.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-00025,1954-10-00025,https://www.geipan.fr/fr/cas/1954-10-00025,DOWNLOADED,20806,eb85445c46e2c85d300a9c540062f75a7e03faa65b8266b3df5d6f50748bdb50,[D40] de SAINT-MARCEL (08) vers HAUDRECY (08) 27.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-00026,1954-10-00026,https://www.geipan.fr/fr/cas/1954-10-00026,DOWNLOADED,21279,7e1c304500f3c8799ff468ecac47099a5e5adf68e974cc1eec7568d6fca4c4af,LONG (80) 31.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-09216,1954-10-09216,https://www.geipan.fr/fr/cas/1954-10-09216,DOWNLOADED,19237,64cf1df77555216c83e4567709b4aa0459549e33df7660dcc779beb607f0c985,WIMEREUX (62) 02.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-09217,1954-10-09217,https://www.geipan.fr/fr/cas/1954-10-09217,DOWNLOADED,21811,0a26fc721aaa7f50bc4b1dbd8fcf97f3e2992aec22cb000742a2a9aa42246014,DOULLENS (80) 19.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-09218,1954-10-09218,https://www.geipan.fr/fr/cas/1954-10-09218,DOWNLOADED,18575,05e9904e3f425067050dbd6c2e19b425023f512674d1d836c2ec36dfdae76545,HEM-HARDINVAL (80) 14.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-09227,1954-10-09227,https://www.geipan.fr/fr/cas/1954-10-09227,DOWNLOADED,29312,9cbf880aa7025f97a12bc8b6a12c4bb205bf15be14fd2a357038fd376d035ae4,PONCEY-SUR-L'IGNON (21) 04.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
